cat_educacion,estado_laboral,familia,riq_inmob,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_form,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok,weight,t_hipoteca,t_ppension_ind,t_ppension_emp,t_fondo_inv,t_acciones,t_prestamo,t_renta_fija,t_cuentas_depositos,adq_hipoteca,adq_ppension_ind,adq_ppension_emp,adq_fondo_inv,adq_acciones,adq_prest,adq_otros_act,adq_renta_fija,adq_cuentas_depositos,uso_cc,uso_ahorro_dep,venta_activos,prestamo_fam,prestamo_amig,tarjeta_cred,descubierto_auto,prest_garantia,linea_cred,prest_banc,prest_nobanc,otro_prest
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,28,69,2022,0,0,1,3605.3088,0,-98,0,0,-98,0,0,-98,0,-98,0,0,-98,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,70,2022,1,1,0,4439.7515,0,-98,-98,0,-98,-98,0,0,0,-98,-98,0,-98,-98,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,No posee residencia principal,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,27,71,2021,1,0,1,4064.5845,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Desempleado,Otros adultos,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,72,2022,0,0,1,2230.6831,0,0,0,0,-98,0,-98,0,0,0,0,0,-98,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,73,2022,1,1,1,5731.002,0,1,-97,1,0,0,0,0,0,0,-97,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,No posee residencia principal,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,33,74,2022,1,1,-1,7648.2568,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,40,75,2022,0,-1,-1,3446.0994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,66,76,2022,0,0,-1,5782.7886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,77,77,2021,1,1,1,7929.9287,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,78,2022,1,-1,1,2585.3027,0,0,0,0,-98,0,0,0,0,0,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
