i0900_1;i0900_2;i0900_3;i0900_4;i0900_5;fi0900;i0700_1;i0700_2;i0700_3;i0700_4;i0700_5;fi0700;j0700_1;j0700_2;j0700_3;j0700_4;j0700_5;fj0700;j0500_1;j0500_2;j0500_3;j0500_4;j0500_5;fj0500;i0300_1;i0300_2;i0300_3;i0300_4;i0300_5;fi0300;j1300_1;j1300_2;j1300_3;j1300_4;j1300_5;fj1300;weight;ID
-98;-98;-98;-98;-98;-98;260;260;260;260;260;0;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;4665.3408;117
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1779.8948;118
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;700;700;700;700;700;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1323.8273;119
60;60;60;60;60;0;400;400;400;400;400;0;600;600;600;600;600;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;672.11249;120
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;868;868;868;868;868;0;-98;-98;-98;-98;-98;-98;1;1;1;1;1;0;8924.8916;121
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1000;1000;1000;1000;1000;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;1090.6804;122
80;80;69.749748;26.099001;55.995239;1;435;435;435;435;435;0;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2916.0212;123
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;200;200;200;200;200;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1388.7678;124
80;80;80;80;80;0;300;300;300;300;300;0;12000;12000;12000;12000;12000;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3632.2009;125
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;8000;8000;8000;8000;8000;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;6069.48;126
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;7457.9155;127
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;200;200;200;200;200;0;463.3988;402.66351;426.68741;425.14899;415.41309;1;320;320;320;320;320;0;3;3;3;3;3;0;7541.2021;128
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3451.9097;129
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3000;3000;3000;3000;3000;0;390.60001;390.60001;390.60001;390.60001;390.60001;0;300;300;300;300;300;0;2;2;2;2;2;0;510.67456;130
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2465.7102;131
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;210;210;210;210;210;0;590;590;590;590;590;0;1;1;1;1;1;0;4935.6953;132
